Índice;Comentário Original;Sentimentos_manual
1;??;POS
2;O Bob esponja nasceu no mesmo dia e mes q eu;NEU
3;1:26 a cara do lucas kkkkkkkkkk????????;NEU
4;E é verdade que eu tô aqui;NEU
5;Se vocês verem uma mota que é vermelho e azul é o meu irmão;NEU
6;To-do is desenho tem so 4 dedos? Sim e vdd;NEG
7;"847;63";NEU
8;3.26;NEU
9;Não é a megue é a lisa;NEG
10;Breet lembra um personagem de Black mirror;NEU
11;0:09 por que eles é igual o lula?;NEG
12;TEORIA DE RICK E MORTY E LEGAL;POS
13;Vai ter o custo da camisa da Meg;NEU
14;É claro não é tu não ouvi o nome dos dos do desenho não é os padrinhos padrinhos padrinhos;NEG
15;84763;NEU
16;Uau q video legal;POS
17;bizarros esses desenhos kkkkk;NEG
18;??????????????yyyyyyy;POS
19;1:53 O quadro pode ser da Liza qnd era neném ???????;NEG
20;??????????????;POS
21;faz sentido e não faz sentido ao mesmo tempo kk;NEU
22;Muito masa;POS
23;Onde é que tem esse do pai do Patrick e o pai do Gary?;NEG
24;Legal??;POS
25;É bobisposjA causa cagadas ??????????????????????????????????????????????????????????????????????????????????????????;NEU
26;847;NEU
27;Dos Simpsons do quadro pode ser a lisa pequena…;POS
28;Aqui em Moçambique ele é espoyboy;NEU
29;Você sabia????????????????;POS
30;Uau;POS
31;Oi;NEU
32;0:16 sobrea alguns dos tão mamados?;NEG
33;gosto dos seus vídeos;POS
34;Gente, a foto da meg pode ser a liza;NEG
35;Oie??;NEU
36;Quem.    Criou.    A.    Galáxia;NEU
37;Quem tiver mais like e gay;NEG
38;O Bob tá bem novinho;NEU
39;A. Caba like. Eu. Bebo;NEG
40;Essa aí na foto é lisa;NEG
41;A cada like eu bebo água;NEU
42;Ate a blusa e amarela;NEG
43;E a Lisa;NEG
44;M a Deus;NEU
45;??;POS
46;11:19 cara OS MINIONS SÃO AMARELOS TBM!!!!!!!;NEG
47;"1:12 ?? EU ASSISTIR DOIS ANJOS CHAMADOS ONAFIM E SERAFIM CUIDANDO DE UMA CRIANÇA!? 
EU N QUERO MAIS ASSISTIR PADRINHOS MÁGICOS DEPOIS QUE EU VI ISSO!!!!!!!
Mn anjo é de Deus mais a forma real de um anjo misericórdia ??????????";NEG
48;Legal;POS
49;2:07 é a lisa ??;NEG
50;Mais a Meggie no quadro é a lisa quando ela era criança;NEG
51;O líder da cidadela não é um Rick e um morty, tanto que é um morty malvado ?? tem tudo a ver essa teoria;NEG
52;Eu sempre achei q os animadores tinham preguiça de fazer o quinto dedo nos personagens kk;NEG
53;Eu não tinha reparado nessas curiosidades ??;NEU
54;É a Liza não qundo era bebe;NEG
55;Otimo saber mais sobre os desenhos ;POS
56;Cada like eu bebo cachaça.;NEG
57;Oseas;NEU
58;Também os Mínimos são amarelos;NEG
59;Alguém em 2027?;NEU
60;??????????????;POS
61;Alguém em 2025;NEU
62;?oi;POS
63;No lance da compra, deve ter sido pesada e por isso deu esse valo;NEG
64;parte do rick and morty 8:12;NEU
65;Dsss;NEU
66;Cada um like que eu ganhar eu como bolo de cenoura????????????;NEU
67;eu amo vcs dois ?;POS
68;Muito bom;POS
69;Amo vcs ??;POS
70;O codigo: (647.63);NEU
71;A foto é da Lisa BB não dá meg ??;NEG
72;Verdade...;POS
73;awesome;NEU
74;Eu love seus vídeos ??;POS
75;Era a lisa;NEG
76;A pepa pig tem três dedos kkk??????????????????;NEG
77;Gente, pausa no momento 9:09. Fica muito engraçado??????;NEU
78;Oi;NEU
79;Pq q eles ficaram levantando;NEG
80;??;NEG
81;"Vocês falaram duas vezes desse ""Brett"" aí";NEG
82;Era a lisa pequena não a meg;NEG
83;"A data na CNH do Bob esponja, não mostra dia 14 do mês 07
E sim dia  07 mês 14 ano 86
Mês que não existe";NEG
84;Impossível;NEG
85;Aqui no Brasil também corta dedo de ladrão.  Olha o Lula molusco kkkkk;NEG
86;?????;POS
87;A fotografia era da liza, afinal elas sao parecidas ??;NEG
88;Tudo manipulação, até mesmo esse canal é manipulador. ??;NEG
89;Existem muitos segredos escondidos nos desenhos que poucas pessoas sabem. Códigos do Cartoon...;NEG
90;"Será que a máfia Yakusa cortou o dedo do Lülæ?
kkkkkk";NEG
91;Você sabia?;NEU
92;Amei ??????????????;POS
93;Curiosidades muito legais??;POS
94;Será que o Lula roubou no Japão tbm? Coincidência ou não, ele só tem 4 dedos numa mão. Rsrs;NEG
95;Massa ??????;POS
96;Nunca pensei nessa teoria do Morty ser o rick;NEU
97;38 ??;NEG
98;Alguém 2025?;NEU
99;Poderia ser a liza;NEU
100;RICK E MORTY SAO A VIBE DOS MESMOS PERSONAGEM DE VOLTA PARA O FUTURO, ATE A FISONOMIA;NEU
101;Mn de boa é uma teoria pô;NEU
102;Caramba, eu não sabia que o Bob Esponja ?? se chamaria Spongeboy ( Menino Esponja ??), realmente esse nome é ruim;NEU
103;GUILHERME MOREIRA SERRA;NEU
104;Cé lico mano não compensa;NEG
105;???;POS
106;Eu amo os Simpsons?;POS
107;??????;POS
108;DOS  Simpsons eu não sabia;NEU
109;Eu queria que fizessem o vídeo mostrando todo esse painel deles que eles fazem o vídeo;NEU
110;Eu aprendo mais no você sabia do que na escola;POS
111;O MEU  PAI  COSTA  DO  MESMO  DESENHO QUE. O  LUCAS;NEU
112;Eu amo vídeos do canal.;POS
113;Acho que o Lula foi pego pela máfia japonesa kkk;NEG
114;"Ok
Ok";POS
115;Ii;NEU
116;Tá explicado o pq o Lula tem 9 dedos??????;NEG
117;Kkkkkkkk;POS
118;???;POS
119;Meu pai amado, faz tempo que não vejo você sabia desde 2021;NEU
120;Eu sou o coringa;NEU
121;Vd????;POS
122;The best ??????;POS
123;parabens pelo sucesso de voces LUCAS MARQUES e DANIEL MOLO;POS
124;alguem percebeu que a hora que o menino dos simpisons esta passando de esqueite tem algumas criancinhas que nao sao amarelas e sim bem moreninhas;NEU
125;É a Liza quando baby??;POS
126;Mas tem uma teoria que cosmo e wanda são dois anti-depressivos;NEG
127;6:15 pessoas traíras por isso o Lula tem 4 dedos;NEG
128;Esse da foto da Meg, pode ser a Lisa bebê;NEG
129;456;NEU
130;457;NEU
131;o spongebob faz anos no mesmo dia que eu ahah;NEU
132;??;POS
133;Achei que ia falar Slk não compensa ??????;POS
134;O bob esponja nasceu na mesma data que eu, 10 anos antes rs eu tenho 28 e ele 38 hahaha ?;POS
135;Porque eles não falam canais de YouTubers?;NEG
136;nice;POS
137;Caraí o Lucas tá gatim viu kkkkk;POS
138;Gostei;POS
139;Como assim ó Patrique e ó guei é primo?;NEU
140;?? Amo vocessss!????;POS
141;EU SOU O BATMAN-;NEU
142;Eu queria perguntar uma coisa não sei se é verdade será que é verdade peixe Diabo Negro subiu para superfície? E por quê;NEU
143;Sabe por que os personagens só tem 4 dedos  por que o Lula que criou;NEG
144;Cosmos e vanda parecem Alienígena nessa versão verdadeira ??;NEG
145;????????????;POS
146;2:12 pd ser a lisa tlvz;NEU
147;4:01 caraca Bret;NEG
148;NAMTAB UOS UE;NEU
149;Pode ser a liza mais nova uai.;NEU
150;Talvez aquela seja a liza bebe;NEU
151;Com 8 ano;NEU
152;EU SOU O HOMEM-ARANHA;NEU
153;Tem um joguinho que eu tenho tem uma fase que chama yakuza sabia;NEG
154;ANA GABRIELLY XIMNENS DE OLIVEIRA;NEU
155;Adoro vcs ?;POS
156;E Eu sei voar ..;NEU
157;2025;NEU
158;?;POS
159;eu assisto esse canal desde de 2021;NEU
160;Olaaa;NEU
161;????????i;NEG
162;O quadro pode ser a liza bb kkkkk;NEU
163;??????????????;NEG
164;EUSOUHELOiZA??????;POS
165;LEGAU;POS
166;ANALOG HORROR;NEG
167;???????? ??? ??????????;NEU
